!! This surface is a combination of the following surfaces:
!! methanol-attack/methanol-attack.txt
!! acetyl-leaving/acetyl-leaving.txt
!! This surface is based upon a LD surface
!! Variables are -
!! Xvar Yvar GasSCF dGasSCF DeltaG dDeltaG DeltaGld dDeltaGld sum sumld surface
2.05 2.90 -1513.407077 145.80 -431.88 -135.43 -457.51 -143.36 12.77 4.84 !! methanol-attack/methanol-attack.txt
2.05 2.95 -1513.408004 145.21 -430.20 -133.75 -457.19 -143.04 13.86 4.57 !! methanol-attack/methanol-attack.txt
2.05 3.00 -1513.409058 144.55 -427.74 -131.29 -456.47 -142.32 15.66 4.63 !! methanol-attack/methanol-attack.txt
2.05 3.05 -1513.410340 143.75 -425.71 -129.26 -455.44 -141.29 16.89 4.86 !! methanol-attack/methanol-attack.txt
2.05 3.10 -1513.411772 142.85 -423.75 -127.30 -454.84 -140.69 17.95 4.56 !! methanol-attack/methanol-attack.txt
2.05 3.15 -1513.413289 141.90 -423.14 -126.69 -454.53 -140.38 17.61 3.92 !! methanol-attack/methanol-attack.txt
2.05 3.20 -1513.414844 140.92 -422.44 -125.99 -454.94 -140.79 17.33 2.53 !! methanol-attack/methanol-attack.txt
2.05 3.25 -1513.416406 139.94 -421.87 -125.42 -454.51 -140.36 16.92 1.98 !! methanol-attack/methanol-attack.txt
2.05 3.30 -1513.417985 138.95 -421.19 -124.74 -454.50 -140.35 16.61 1.00 !! methanol-attack/methanol-attack.txt

2.10 1.80 -1513.383170 160.80 -454.53 -158.08 -469.83 -155.68 5.12 7.52 !! methanol-attack/methanol-attack.txt
2.10 1.85 -1513.390046 156.48 -453.01 -156.56 -468.87 -154.72 2.32 4.16 !! methanol-attack/methanol-attack.txt
2.10 1.90 -1513.395126 153.29 -451.60 -155.15 -467.95 -153.80 0.54 1.89 !! methanol-attack/methanol-attack.txt
2.10 1.95 -1513.398821 150.98 -450.30 -153.85 -466.85 -152.70 -0.47 0.68 !! methanol-attack/methanol-attack.txt
2.10 2.00 -1513.401387 149.37 -449.19 -152.74 -467.49 -153.34 -0.97 -0.10 !! old -1.57 !! methanol-attack/methanol-attack.txt
2.10 2.05 -1513.403127 148.27 -447.80 -151.35 -465.11 -150.96 -0.68 -0.29 !! methanol-attack/methanol-attack.txt
2.10 2.10 -1513.404238 147.58 -446.37 -149.92 -464.67 -150.52 0.06 -0.54 !! methanol-attack/methanol-attack.txt
2.10 2.15 -1513.404879 147.17 -445.30 -148.85 -464.02 -149.87 0.72 -0.30 !! methanol-attack/methanol-attack.txt
2.10 2.20 -1513.405200 146.97 -443.97 -147.52 -463.47 -149.32 1.85 0.05 !! methanol-attack/methanol-attack.txt
2.10 2.25 -1513.405327 146.89 -442.55 -146.10 -463.01 -148.86 3.19 0.43 !! methanol-attack/methanol-attack.txt
2.10 2.30 -1513.405333 146.89 -441.21 -144.76 -462.05 -147.90 4.53 1.39 !! methanol-attack/methanol-attack.txt
2.10 2.35 -1513.405279 146.92 -440.79 -144.34 -461.25 -147.10 4.98 2.22 !! methanol-attack/methanol-attack.txt
2.10 2.40 -1513.405221 146.96 -438.74 -142.29 -461.29 -147.14 7.07 2.22 !! methanol-attack/methanol-attack.txt
2.10 2.45 -1513.405199 146.97 -437.55 -141.10 -461.21 -147.06 8.27 2.31 !! methanol-attack/methanol-attack.txt
